source_path,proposed_action,destination_path,age_scope,file_count,total_bytes,old_file_count,old_bytes,oldest_file_mtime,latest_file_mtime,symlink_count,scan_errors,tree_sha256,reason,evidence,approval_required,execution_status
reviews,archive,archive/reviews_202606,whole_path,738,17374183,738,17374183,2026-06-12T08:17:23+08:00,2026-06-29T11:16:18+08:00,0,0,cff59f4e6f5f3d5a088f06ea232a412e9036d1eb6279b240e48ef8222c89e8e7,"Completed pre-V6 review runs with no current code, manuscript, or manifest consumer.",All 738 regular files are older than the cutoff; manual consumer scan on 2026-08-14 found no live reference.,yes_move_batch,dry_run_only
fig,archive,docs/archive/paper/legacy-assets_202605,whole_path,2,1003693,2,1003693,2026-05-11T16:10:46+08:00,2026-05-12T10:07:57+08:00,0,0,8ddae8216475c1ac5789ef0ec6a2979acafb19e3aee13300fcba5a8cc302edd2,"Legacy manuscript PDF and panel mapping workbook, superseded by docs/paper and current result manifests.",Both files predate the cutoff and no live consumer was found.,yes_move_batch,dry_run_only
sandbox_document.xml,archive,archive/work_history/document_extraction_202604/sandbox_document.xml,whole_path,1,229170,1,229170,2026-04-09T09:34:48+08:00,2026-04-09T09:34:48+08:00,0,0,9113febd8fb1efd58ce50200c077259b0fbc093dbe29f83f96c242df60c51686,Unconsumed historical document-extraction artifact.,"Ignored by project policy, older than the cutoff, and absent from live consumer references.",yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_boundary.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_boundary.log,whole_path,1,2706,1,2706,2026-06-02T14:32:02+08:00,2026-06-02T14:32:02+08:00,0,0,a600caaf9bb0a5ef1133ff051cd6ed295a5fdcb31795ecd12325df439e27b119,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_boundary_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_boundary_time.txt,whole_path,1,346,1,346,2026-06-02T14:33:18+08:00,2026-06-02T14:33:18+08:00,0,0,9801543282a9c4fbe273cfe679b4c45e84d993b088fbc6ab03b097c3f5f2fbb5,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_boundary_v2.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_boundary_v2.log,whole_path,1,2706,1,2706,2026-06-02T14:36:21+08:00,2026-06-02T14:36:21+08:00,0,0,a600caaf9bb0a5ef1133ff051cd6ed295a5fdcb31795ecd12325df439e27b119,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_boundary_v2_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_boundary_v2_time.txt,whole_path,1,344,1,344,2026-06-02T14:37:54+08:00,2026-06-02T14:37:54+08:00,0,0,b23cdb69285506c574db69f0191573df38172d09a86ca0dc71c7ecda1f871d9b,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_cue_d400.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_cue_d400.log,whole_path,1,2706,1,2706,2026-06-02T14:33:39+08:00,2026-06-02T14:33:39+08:00,0,0,f8a4a637bc3eda1e0d6dc1985312354f634d99e328284d033792147cf9167188,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_cue_d400_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_cue_d400_time.txt,whole_path,1,348,1,348,2026-06-02T14:35:17+08:00,2026-06-02T14:35:17+08:00,0,0,60520c6e3b315cc6ef9b320e1f3c32fed9a4a593d668afeb80dc9cb4f1d134aa,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_cue_d400_v2.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_cue_d400_v2.log,whole_path,1,2706,1,2706,2026-06-02T14:38:09+08:00,2026-06-02T14:38:09+08:00,0,0,f8a4a637bc3eda1e0d6dc1985312354f634d99e328284d033792147cf9167188,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_batch_cue_d400_v2_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_batch_cue_d400_v2_time.txt,whole_path,1,334,1,334,2026-06-02T14:39:41+08:00,2026-06-02T14:39:41+08:00,0,0,f112193f46e02da06f30638030421719455af2186d2b54d4ef4f92db081ca216,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_serial_boundary.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_serial_boundary.log,whole_path,1,2706,1,2706,2026-06-02T14:18:08+08:00,2026-06-02T14:18:08+08:00,0,0,a600caaf9bb0a5ef1133ff051cd6ed295a5fdcb31795ecd12325df439e27b119,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_serial_boundary_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_serial_boundary_time.txt,whole_path,1,348,1,348,2026-06-02T14:21:01+08:00,2026-06-02T14:21:01+08:00,0,0,89a078d87c7491ed839193720a0302e022684760fb66a59c4cce0b65c9377694,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_serial_cue.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_serial_cue.log,whole_path,1,5436,1,5436,2026-06-02T14:23:55+08:00,2026-06-02T14:23:55+08:00,0,0,361bb0022ae017188343ebf091c8bf33d9526094e3cf41bc28aeed940b897237,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_serial_cue_d400.log,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_serial_cue_d400.log,whole_path,1,2706,1,2706,2026-06-02T14:24:21+08:00,2026-06-02T14:24:21+08:00,0,0,f8a4a637bc3eda1e0d6dc1985312354f634d99e328284d033792147cf9167188,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_serial_cue_d400_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_serial_cue_d400_time.txt,whole_path,1,348,1,348,2026-06-02T14:28:36+08:00,2026-06-02T14:28:36+08:00,0,0,01ae94b80e7959fd2fb4a4056bcb7f9fc0077eb386efc2534fa42b37f576dd98,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
tmp/fig3_batch_opt_serial_cue_time.txt,archive,archive/work_history/experiment_probes_202606/fig3_batch_opt_serial_cue_time.txt,whole_path,1,330,1,330,2026-06-02T14:23:56+08:00,2026-06-02T14:23:56+08:00,0,0,dda90d666620f6a794158716d50d0d6546672dbe9a536fb5a35e260c5dbc4575,Historical Fig.3 probe or run receipt retained only for provenance.,File predates the cutoff and current runtime entrypoints no longer consume tmp/ probes.,yes_move_batch,dry_run_only
